Póliza,Cantidad de Irregularidades
0,3
0000,1
00000,1
000000,1
085240,1
1,10
1000676,2
1000789,1
1000790,1
1000791,1
1000794,1
1002060,1
1002119,1
1004880,1
1005340,1
1005988,1
1006082,1
1006201,2
1006225,1
1006311,1
1006312,1
1006315,1
1006320,1
1006344,1
1006388,1
1006479,1
1006532,1
1006597,1
1006598,1
1006601,1
1006609,1
1006610,1
1007630,1
100800,1
100801,1
100802,1
100803,1
1008335,1
101,1
1010464,1
1010492,1
1010533,1
1010614,1
1010618,1
1010619,2
1010666,1
1010678,1
1010843,1
1012573,1
1012721,1
1014291,1
1015192,1
1016353,1
1016598,1
1017377,1
1020499,1
1020825,1
1020890,1
1020909,1
1022163,1
1022184,1
1022754,1
1023774,1
1026223,1
1028668,1
1029955,1
1029957,1
1029959,1
1030002,1
1030003,1
1030004,1
1030353,1
1030436,1
1030511,1
1030518,1
1030525,1
1030544,1
1030545,1
1030551,1
1030553,1
1030558,1
1030656,1
1030755,1
1030756,1
1030757,1
1030763,1
1030792,1
1030794,1
1030795,1
1030825,1
1030826,1
1030914,1
1030920,1
1030932,1
1030933,1
1030946,1
1030947,1
1030956,1
1030984,1
1030985,1
1030997,1
1030998,1
1034640,1
1035230,1
103876,1
1048506,1
1048563,1
1048999,1
10509987,1
1051301,1
1052781,1
1055103,1
105742,1
1058155,1
1058281,1
1058305,1
1058748,1
1058749,1
1058756,1
1058782,1
1058783,1
1058960,1
1059246,1
1059324,1
1059330,1
1059419,1
1059447,1
1059450,1
1059466,1
1059491,1
1059578,1
1059641,1
1059664,1
1059673,1
1062464,1
1066816,1
1066912,1
1066913,1
1067454,1
1068154,1
1069163,1
1069166,1
1069287,1
1069547,1
1079937,1
1085953,1
1085970,1
1086816,1
1090156,1
1091618,1
1092370,1
1097988,1
1097995,2
110797,1
111087,1
111342,1
111348,1
111351,1
1116176,1
1117948,1
1119642,1
1119643,1
1119776,1
1119932,1
1121995,1
1122749,1
1123728,1
1124420,1
1124421,1
1125232,1
1128520,1
1128521,1
113028,1
1134666,1
1143954,1
1153612,1
11594,1
11596,1
1159760,1
11632,1
11643,1
11646,1
11653,1
117062,1
118186,1
120123,1
12345,1
123484,1
12358,1
124715,1
125037,1
1251822,1
125214,1
126182,1
127082,1
127616,1
128372,1
129781,1
134428,1
135149,1
13612,1
14082,1
141436,1
141581,1
141662,1
142350,1
142468,1
143566,1
143610,1
144517,1
144888,1
145968,1
146002,1
146097,1
146098,1
146111,1
146198,1
146204,1
146253,1
146318,1
146329,1
146331,1
146334,1
146349,1
146355,1
146359,1
146370,1
146392,1
146397,1
146406,1
146413,1
146418,1
146430,1
149236,2
1511903,1
151499,1
151515,1
151517,1
151547,1
151549,1
151550,1
151578,1
151613,1
151615,1
151623,1
151637,1
151642,1
151660,1
151678,1
151681,1
151696,1
151709,1
151720,1
151733,1
151742,1
151743,1
151744,1
151752,1
151756,1
151769,1
151776,1
151860,1
151861,1
151866,1
151869,1
151870,1
151872,1
151904,1
151905,1
151949,1
151960,1
151965,1
151979,1
151984,1
151994,1
151995,1
151998,1
152000,1
152005,1
152006,2
152013,1
152015,1
152024,1
152028,1
152030,1
152032,1
152037,1
152046,1
152048,1
152057,1
152213,1
152261,1
152268,1
152271,1
152273,1
152274,1
152283,1
152287,1
152298,1
152307,1
152322,1
152325,1
152326,1
152345,1
152346,1
152347,1
152354,1
152374,1
152379,1
152380,1
152405,1
152421,1
152424,1
152430,1
152439,1
152441,1
152445,1
152447,1
152457,1
152458,1
152459,1
152464,1
152468,1
152469,1
152470,1
152471,1
152472,1
152474,1
152475,1
152476,1
152477,1
152482,1
152492,1
152495,1
152503,1
152507,1
152508,1
152510,1
152513,1
152514,1
152516,1
152527,1
152529,1
152531,1
152854,1
152860,1
152862,1
152866,1
152891,1
152903,1
152916,1
152921,1
152922,1
152935,2
152943,1
152953,1
152954,1
152958,1
152967,1
152979,1
152980,1
153011,1
153029,1
153030,1
153034,1
153050,1
153070,1
153078,1
153109,1
153127,1
153158,1
154443,1
154484,1
154485,1
154700,1
154885,1
154887,2
154896,1
154897,1
154898,1
154901,1
154903,2
154904,1
154905,1
154909,1
154917,1
154919,1
154926,1
154930,1
154934,1
154937,1
154940,1
154947,1
154949,1
154954,1
154955,1
154971,1
155009,1
155031,1
155069,1
155070,1
155085,1
155094,1
155100,2
155103,1
155106,1
155111,1
1551116,1
155112,1
155133,1
155134,1
155138,1
155155,1
155157,1
155161,2
155163,1
155167,1
155171,1
155172,1
155176,1
155178,1
155180,1
155181,1
155187,1
155188,1
155189,1
155190,1
155191,2
155194,1
155197,1
155205,1
155222,1
155225,1
155229,1
155236,1
155239,1
155244,1
155246,1
155252,1
155253,1
155259,1
155261,1
155268,1
155270,1
155276,1
155278,1
155289,1
155290,1
155307,1
155326,1
155342,1
155344,1
155354,1
155355,1
155356,1
155358,1
155388,1
155402,1
155408,1
155409,1
155415,1
155420,1
155426,1
155429,1
155430,1
155431,1
155432,1
155433,1
155435,1
155436,1
155437,1
155462,1
155478,1
155500,1
155501,1
155502,1
155507,1
155516,1
155542,1
155544,2
155549,1
155555,1
155563,1
155587,1
155608,1
155629,1
155631,1
155639,1
155641,1
155664,1
155672,1
155673,1
155677,1
155681,1
155686,1
155708,1
155709,1
155710,1
155711,2
155721,1
155745,1
155749,1
155750,1
155763,1
155773,1
155775,1
155787,1
155791,1
155792,1
155808,1
155861,1
155891,1
155902,1
155926,1
155957,1
155970,1
155995,1
156009,1
156019,1
156027,1
156028,1
156029,1
156038,1
156066,1
156087,1
156089,1
156090,1
156102,1
156108,1
156112,1
156121,1
156133,1
156139,1
156145,1
156222,1
156230,1
156247,1
156248,1
156265,2
156284,1
156311,1
156313,2
156322,1
156328,2
156332,1
156333,1
156336,1
156339,1
156341,1
156342,1
156345,1
156346,1
156351,1
156352,1
156355,1
156359,1
156361,1
156363,1
156401,1
156408,1
156409,1
156414,1
156430,2
156440,1
156457,1
156464,1
156470,1
156471,1
156482,1
156492,1
156493,1
156494,1
156495,1
156497,1
156517,1
156518,1
156523,1
156541,1
156545,1
156550,1
156552,1
156555,1
156561,1
156562,1
156567,1
156568,1
156572,1
156573,1
156576,1
156577,1
156578,1
156597,1
156617,1
156641,1
156729,1
156811,1
156812,1
156829,1
156842,1
156853,1
156860,1
156863,1
156864,1
156865,1
156866,1
156867,1
156870,1
156872,1
156873,1
156874,1
156878,1
156881,1
156882,1
156883,1
156884,1
156887,1
156891,1
157089,1
157092,1
157093,1
157100,1
157124,1
157126,1
157128,1
157131,1
157132,1
157134,1
157137,1
157145,1
157146,1
157147,2
157148,1
157151,1
157152,1
157153,1
157154,1
157160,1
157164,1
157165,1
157167,1
157168,1
157171,1
157188,1
157193,1
157203,1
157205,1
157206,1
157217,1
157221,1
157227,1
157250,1
157255,1
157260,1
157265,2
157268,1
157271,1
157287,1
157327,1
157710,1
157732,1
157737,1
157744,1
157794,1
157806,1
157845,1
157858,1
157864,1
157867,1
157873,1
157878,1
157903,1
157928,1
157929,1
157937,1
157941,1
157951,1
157956,1
157963,2
157979,1
157980,1
157996,1
157997,1
158000,1
158007,1
158008,1
158028,1
158031,1
158083,1
158089,2
158096,1
158712,1
158724,1
158726,1
158736,1
158775,1
158819,1
158900,1
158904,1
158908,1
158913,1
158922,1
158929,1
158931,1
158934,1
158935,1
158936,1
158940,1
158963,1
158964,1
158966,1
158971,1
158990,1
159010,1
159015,1
159021,1
159022,1
159063,1
159064,1
159065,1
159256,1
159258,1
159264,1
159269,1
159279,1
159286,1
159302,1
159313,1
159314,1
159315,1
159353,1
159356,1
