Póliza,Probabilidad de Irregularidades
,0.0
0,0.75
0000,2.0
00000,1.0
000000,1.0
085240,1.0
1,0.37037037037037035
1000676,1.0
1000703,0.0
1000752,0.0
1000789,0.5
1000790,0.5
1000791,1.0
1000794,1.0
1001402,0.0
1001710,0.0
1001751,0.0
1001888,0.0
1002060,0.25
1002080,0.0
100211,0.0
1002119,1.0
1002131,0.0
1002144,0.0
1002527,0.0
1003767,0.0
1004489,0.0
1004738,0.0
1004769,0.0
1004829,0.0
1004857,0.0
1004858,0.0
1004867,0.0
1004877,0.0
1004880,0.5
1004950,0.0
1004982,0.0
1004983,0.0
1005186,0.0
1005327,0.0
1005334,0.0
1005340,1.0
1005341,0.0
1005409,0.0
1005554,0.0
1005849,0.0
1005988,0.5
1006047,0.0
1006082,1.0
1006201,1.0
1006225,1.0
1006265,0.0
1006310,0.0
1006311,1.0
1006312,1.0
1006315,0.5
1006320,1.0
1006325,0.0
1006327,0.0
1006328,0.0
1006335,0.0
1006344,1.0
1006388,1.0
1006430,0.0
1006431,0.0
1006433,0.0
1006437,0.0
1006474,0.0
1006479,0.3333333333333333
1006486,0.0
1006487,0.0
1006506,0.0
1006509,0.0
1006512,0.0
1006513,0.0
1006515,0.0
1006522,0.0
1006532,0.5
1006540,0.0
1006541,0.0
1006544,0.0
1006571,0.0
1006572,0.0
1006581,0.0
1006583,0.0
1006584,0.0
1006586,0.0
1006590,0.0
1006594,0.0
1006597,0.5
1006598,1.0
1006599,0.0
1006601,1.0
1006605,0.0
1006606,0.0
1006608,0.0
1006609,1.0
1006610,1.0
1006611,0.0
1006616,0.0
100676,0.0
1007608,0.0
1007630,1.0
1007823,0.0
1007825,0.0
100796,0.0
1007983,0.0
100800,2.0
100801,2.0
100802,2.0
100803,2.0
1008201,0.0
1008270,0.0
1008335,1.0
1008411,0.0
1008472,0.0
1009702,0.0
1009708,0.0
1009743,0.0
1009893,0.0
1009898,0.0
1009900,0.0
1009905,0.0
101,2.0
1010355,0.0
1010429,0.0
1010435,0.0
1010437,0.0
1010464,0.3333333333333333
1010469,0.0
1010473,0.0
1010479,0.0
1010487,0.0
1010490,0.0
1010492,0.3333333333333333
1010493,0.0
1010497,0.0
1010519,0.0
1010527,0.0
1010533,1.0
1010535,0.0
1010536,0.0
1010537,0.0
1010558,0.0
1010561,0.0
1010583,0.0
1010592,0.0
1010610,0.0
1010614,0.5
1010618,1.0
1010619,0.6666666666666666
1010622,0.0
1010631,0.0
1010653,0.0
1010658,0.0
1010660,0.0
1010666,1.0
1010678,1.0
1010694,0.0
1010697,0.0
1010701,0.0
1010702,0.0
1010819,0.0
1010831,0.0
1010843,2.0
1010952,0.0
1010953,0.0
1010955,0.0
1011126,0.0
1011189,0.0
1011606,0.0
1011714,0.0
1012161,0.0
1012284,0.0
1012558,0.0
1012559,0.0
1012562,0.0
1012567,0.0
1012570,0.0
1012571,0.0
1012572,0.0
1012573,0.5
1012574,0.0
1012584,0.0
1012587,0.0
1012589,0.0
1012590,0.0
1012591,0.0
1012592,0.0
1012721,1.0
1012731,0.0
1012790,0.0
1012952,0.0
1013620,0.0
1013717,0.0
1013742,0.0
1013867,0.0
1013921,0.0
1014288,0.0
1014291,0.5
1014345,0.0
1014824,0.0
1014840,0.0
1014855,0.0
1015039,0.0
1015192,1.0
1015416,0.0
1015736,0.0
1015794,0.0
1015933,0.0
1016038,0.0
1016039,0.0
1016353,1.0
1016545,0.0
1016548,0.0
1016598,1.0
1017100,0.0
1017183,0.0
1017212,0.0
1017244,0.0
1017343,0.0
1017377,1.0
1017378,0.0
1017399,0.0
1017502,0.0
1017509,0.0
1017514,0.0
1017518,0.0
1017527,0.0
1017528,0.0
1017593,0.0
1017610,0.0
1017868,0.0
1017871,0.0
1017875,0.0
1018309,0.0
1019156,0.0
1019293,0.0
1020191,0.0
1020394,0.0
1020467,0.0
1020499,1.0
1020632,0.0
1020825,0.5
1020890,1.0
1020909,1.0
1021683,0.0
1022163,1.0
1022184,1.0
1022696,0.0
1022754,1.0
1022886,0.0
1022946,0.0
1023137,0.0
1023260,0.0
1023613,0.0
1023725,0.0
1023756,0.0
1023774,1.0
1023785,0.0
1023790,0.0
1023804,0.0
1023831,0.0
1024027,0.0
1024028,0.0
1025170,0.0
1025780,0.0
1025847,0.0
1025937,0.0
1026223,1.0
1027952,0.0
1028279,0.0
1028362,0.0
1028668,0.5
1029912,0.0
1029955,1.0
1029957,1.0
1029959,1.0
1029985,0.0
1029990,0.0
1030002,1.0
